EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-09-2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISRAEL, JERUSALEM CENTRAL (STAID: 132).
Blended and updated with sources: 100477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100477,19501223,    0,    0
100477,19501224,    0,    0
100477,19501225,    0,    0
100477,19501226,   11,    0
100477,19501227,   41,    0
100477,19501228,    0,    0
100477,19501229,    0,    0
100477,19501230,    0,    0
100477,19501231,    0,    0
100477,19510101,    0,    0
100477,19510102,    0,    0
100477,19510103,    0,    0
100477,19510104,  376,    0
100477,19510105,  130,    0
100477,19510106,    0,    0
100477,19510107,    0,    0
100477,19510108,    0,    0
100477,19510109,    0,    0
100477,19510110,    0,    0
100477,19510111,    0,    0
100477,19510112,    0,    0
100477,19510113,    0,    0
100477,19510114,    0,    0
100477,19510115,    0,    0
100477,19510116,    0,    0
100477,19510117,    0,    0
100477,19510118,    0,    0
100477,19510119,    0,    0
100477,19510120,  201,    0
100477,19510121,    1,    0
100477,19510122,    0,    0
100477,19510123,    0,    0
100477,19510124,    0,    0
100477,19510125,    0,    0
100477,19510126,    0,    0
100477,19510127,    0,    0
100477,19510128,    0,    0
100477,19510129,    0,    0
100477,19510130,    0,    0
100477,19510131,    0,    0
100477,19510201,    0,    0
100477,19510202,   64,    0
100477,19510203,  134,    0
100477,19510204,    1,    0
100477,19510205,    0,    0
100477,19510206,    0,    0
100477,19510207,    0,    0
100477,19510208,    5,    0
100477,19510209,   10,    0
100477,19510210,   42,    0
100477,19510211,    0,    0
100477,19510212,    0,    0
100477,19510213,    0,    0
100477,19510214,    0,    0
100477,19510215,    1,    0
100477,19510216,  505,    0
100477,19510217,  254,    0
100477,19510218,   28,    0
100477,19510219,    0,    0
100477,19510220,    0,    0
100477,19510221,    0,    0
100477,19510222,    0,    0
100477,19510223,    0,    0
100477,19510224,    0,    0
100477,19510225,    0,    0
100477,19510226,    0,    0
100477,19510227,    0,    0
100477,19510228,    0,    0
100477,19510301,    0,    0
100477,19510302,    0,    0
100477,19510303,    0,    0
100477,19510304,    0,    0
100477,19510305,    0,    0
100477,19510306,    0,    0
100477,19510307,    0,    0
100477,19510308,    0,    0
100477,19510309,    0,    0
100477,19510310,    1,    0
100477,19510311,    0,    0
100477,19510312,    0,    0
100477,19510313,    0,    0
100477,19510314,    0,    0
100477,19510315,    0,    0
100477,19510316,   52,    0
100477,19510317,    0,    0
100477,19510318,    0,    0
100477,19510319,    0,    0
100477,19510320,    0,    0
100477,19510321,    0,    0
100477,19510322,   65,    0
100477,19510323,  131,    0
100477,19510324,    0,    0
100477,19510325,    0,    0
100477,19510326,  114,    0
100477,19510327,    0,    0
100477,19510328,    0,    0
100477,19510329,    0,    0
100477,19510330,    0,    0
100477,19510331,    0,    0
100477,19510401,    0,    0
100477,19510402,    0,    0
100477,19510403,    0,    0
100477,19510404,    0,    0
100477,19510405,    0,    0
100477,19510406,    0,    0
100477,19510407,    0,    0
100477,19510408,    0,    0
100477,19510409,    0,    0
100477,19510410,    0,    0
100477,19510411,    0,    0
100477,19510412,    0,    0
100477,19510413,    0,    0
100477,19510414,    0,    0
100477,19510415,    0,    0
100477,19510416,    2,    0
100477,19510417,   78,    0
100477,19510418,    0,    0
100477,19510419,    0,    0
100477,19510420,    0,    0
100477,19510421,   24,    0
100477,19510422,   11,    0
